yearID,teamID,payroll,W,L,WSWin,win_percentage,cost_per_win
1985,ATL,14807000,66,96,N,0.4074074074074074,224348.48484848486
1985,BAL,11560712,83,78,N,0.515527950310559,139285.68674698795
1985,BOS,10897560,81,81,N,0.5,134537.77777777778
1985,CAL,14427894,90,72,N,0.5555555555555556,160309.93333333332
1985,CHA,9846178,85,77,N,0.5246913580246914,115837.38823529411
1985,CHN,12702917,77,84,N,0.4782608695652174,164972.94805194804
1985,CIN,8359917,89,72,N,0.5527950310559007,93931.65168539326
1985,CLE,6551666,60,102,N,0.37037037037037035,109194.43333333333
1985,DET,10348143,84,77,N,0.5217391304347826,123192.17857142857
1985,HOU,9993051,83,79,N,0.5123456790123457,120398.2048192771
1985,KCA,9321179,91,71,Y,0.5617283950617284,102430.53846153847
1985,LAN,10967917,95,67,N,0.5864197530864198,115451.75789473685
1985,MIN,5764821,77,85,N,0.47530864197530864,74867.8051948052
1985,ML4,11284107,71,90,N,0.4409937888198758,158931.08450704225
1985,MON,9470166,84,77,N,0.5217391304347826,112740.07142857143
1985,NYA,14238204,97,64,N,0.6024844720496895,146785.60824742267
1985,NYN,10834762,98,64,N,0.6049382716049383,110558.79591836735
1985,OAK,9058606,77,85,N,0.47530864197530864,117644.23376623377
1985,PHI,10124966,75,87,N,0.46296296296296297,134999.54666666666
1985,PIT,9227500,57,104,N,0.35403726708074534,161885.9649122807
1985,SDN,11036583,83,79,N,0.5123456790123457,132970.8795180723
1985,SEA,4613000,74,88,N,0.4567901234567901,62337.83783783784
1985,SFN,8221714,62,100,N,0.38271604938271603,132608.29032258064
1985,SLN,11817083,101,61,N,0.6234567901234568,117000.82178217822
1985,TEX,7676500,62,99,N,0.38509316770186336,123814.51612903226
1985,TOR,8812550,99,62,N,0.6149068322981367,89015.65656565657
1986,ATL,17102786,72,89,N,0.4472049689440994,237538.69444444444
1986,BAL,13001258,73,89,N,0.4506172839506173,178099.42465753425
1986,BOS,14402239,95,66,N,0.5900621118012422,151602.5157894737
1986,CAL,14427258,92,70,N,0.5679012345679012,156818.02173913043
1986,CHA,10418819,72,90,N,0.4444444444444444,144705.81944444444
1986,CHN,17208165,70,90,N,0.4375,245830.92857142858
1986,CIN,11906388,86,76,N,0.5308641975308642,138446.37209302327
1986,CLE,7809500,84,78,N,0.5185185185185185,92970.23809523809
1986,DET,12335714,87,75,N,0.5370370370370371,141789.816091954
1986,HOU,9873276,96,66,N,0.5925925925925926,102846.625
1986,KCA,13043698,76,86,N,0.4691358024691358,171627.6052631579
1986,LAN,14913776,73,89,N,0.4506172839506173,204298.301369863
1986,MIN,8748167,71,91,N,0.4382716049382716,123213.61971830986
1986,ML4,9943642,77,84,N,0.4782608695652174,129138.20779220779
1986,MON,11103600,78,83,N,0.484472049689441,142353.84615384616
1986,NYA,18494253,90,72,N,0.5555555555555556,205491.7
1986,NYN,15393714,108,54,Y,0.6666666666666666,142534.38888888888
1986,OAK,9779421,76,86,N,0.4691358024691358,128676.59210526316
1986,PHI,11590166,86,75,N,0.5341614906832298,134769.37209302327
1986,PIT,10843500,64,98,N,0.3950617283950617,169429.6875
1986,SDN,11380693,74,88,N,0.4567901234567901,153793.14864864864
1986,SEA,5958309,67,95,N,0.41358024691358025,88929.98507462686
1986,SFN,8947000,83,79,N,0.5123456790123457,107795.18072289157
1986,SLN,9875010,79,82,N,0.4906832298136646,125000.12658227848
1986,TEX,6743119,87,75,N,0.5370370370370371,77507.11494252873
1986,TOR,12611047,86,76,N,0.5308641975308642,146640.08139534883
1987,ATL,16544560,69,92,N,0.42857142857142855,239776.23188405798
1987,BAL,13900273,67,95,N,0.41358024691358025,207466.76119402985
1987,BOS,10144167,78,84,N,0.48148148148148145,130053.42307692308
1987,CAL,12843499,75,87,N,0.46296296296296297,171246.65333333332
1987,CHA,10641843,77,85,N,0.47530864197530864,138205.75324675324
1987,CHN,14307999,76,85,N,0.4720496894409938,188263.1447368421
1987,CIN,9281500,84,78,N,0.5185185185185185,110494.04761904762
1987,CLE,8513750,61,101,N,0.3765432098765432,139569.67213114753
1987,DET,12122881,98,64,N,0.6049382716049383,123702.86734693877
1987,HOU,12608371,76,86,N,0.4691358024691358,165899.61842105264
1987,KCA,11828056,83,79,N,0.5123456790123457,142506.6987951807
1987,LAN,13675403,73,89,N,0.4506172839506173,187334.2876712329
1987,MIN,6397500,85,77,Y,0.5246913580246914,75264.70588235294
1987,ML4,7293224,91,71,N,0.5617283950617284,80145.31868131868
1987,MON,6942052,91,71,N,0.5617283950617284,76286.28571428571
1987,NYA,17099714,89,73,N,0.5493827160493827,192131.61797752808
1987,NYN,13846714,92,70,N,0.5679012345679012,150507.76086956522
1987,OAK,11680839,81,81,N,0.5,144207.88888888888
1987,PHI,11514233,80,82,N,0.49382716049382713,143927.9125
1987,PIT,7652000,80,82,N,0.49382716049382713,95650.0
1987,SDN,11065796,65,97,N,0.4012345679012346,170243.0153846154
1987,SEA,2263500,78,84,N,0.48148148148148145,29019.23076923077
1987,SFN,7290000,90,72,N,0.5555555555555556,81000.0
1987,SLN,11758000,95,67,N,0.5864197530864198,123768.42105263157
1987,TEX,880000,75,87,N,0.46296296296296297,11733.333333333334
1987,TOR,10479501,96,66,N,0.5925925925925926,109161.46875
1988,ATL,12728174,54,106,N,0.3375,235706.92592592593
1988,BAL,13532075,54,107,N,0.33540372670807456,250593.9814814815
1988,BOS,13896092,89,73,N,0.5493827160493827,156135.8651685393
1988,CAL,11947388,75,87,N,0.46296296296296297,159298.50666666665
1988,CHA,6390000,71,90,N,0.4409937888198758,90000.0
1988,CHN,13119198,77,85,N,0.47530864197530864,170379.1948051948
1988,CIN,8888409,87,74,N,0.5403726708074534,102165.62068965517
1988,CLE,8936500,78,84,N,0.48148148148148145,114570.51282051283
1988,DET,12869571,88,74,N,0.5432098765432098,146245.125
1988,HOU,12286167,82,80,N,0.5061728395061729,149831.30487804877
1988,KCA,14556562,84,77,N,0.5217391304347826,173292.40476190476
